latitude,longitude,altitude,timestamp,heart_rate,cadence,elevation
55.911908727139235,11.657073497772217,23.799999999999955,2022-10-08 13:52:19+02:00,146,76,35.0
55.9118206333369,11.657355213537812,25.399999999999977,2022-10-08 13:52:25+02:00,145,75,34.0
55.91173882596195,11.657670876011252,21.200000000000045,2022-10-08 13:52:32+02:00,147,75,33.0
55.91170052066445,11.657881680876017,20.799999999999955,2022-10-08 13:52:37+02:00,143,74,33.0
55.911673698574305,11.657963152974844,20.200000000000045,2022-10-08 13:52:40+02:00,147,74,33.0
55.91164897195995,11.65808217599988,20.0,2022-10-08 13:52:45+02:00,148,56,33.0
55.91163623146713,11.658422481268644,12.399999999999977,2022-10-08 13:53:00+02:00,146,51,33.0
55.911656683310866,11.658680643886328,12.399999999999977,2022-10-08 13:53:07+02:00,149,69,33.0
55.91169591061771,11.658812910318375,14.0,2022-10-08 13:53:12+02:00,145,74,33.0
55.91172960586846,11.658856077119708,14.799999999999955,2022-10-08 13:53:14+02:00,142,72,33.0
55.91177478432655,11.658983146771789,15.600000000000023,2022-10-08 13:53:18+02:00,149,73,33.0
55.911861285567284,11.659188838675618,16.600000000000023,2022-10-08 13:53:24+02:00,153,73,33.0
55.91196631081402,11.659456975758076,16.200000000000045,2022-10-08 13:53:36+02:00,155,72,34.0
55.91196798719466,11.659468291327357,16.0,2022-10-08 13:53:37+02:00,155,0,34.0
55.91198961250484,11.659499639645219,15.0,2022-10-08 13:53:39+02:00,156,0,34.0
55.91208105906844,11.659554960206151,7.600000000000023,2022-10-08 13:53:47+02:00,153,56,34.0
55.912121795117855,11.659568371251225,4.399999999999977,2022-10-08 13:53:52+02:00,155,59,34.0
55.91230661608279,11.659563090652227,3.8000000000000114,2022-10-08 13:53:59+02:00,157,79,35.0
55.91248858720064,11.659501483663917,5.800000000000011,2022-10-08 13:54:06+02:00,155,79,35.0
55.91253644786775,11.659480361267924,5.399999999999977,2022-10-08 13:54:07+02:00,152,79,35.0
55.912616327404976,11.659454880282283,6.600000000000023,2022-10-08 13:54:11+02:00,155,77,35.0
55.912791760638356,11.659468375146389,9.600000000000023,2022-10-08 13:54:21+02:00,155,75,35.0
55.91281103901565,11.659480780363083,10.0,2022-10-08 13:54:23+02:00,159,0,35.0
55.91283216141164,11.659502992406487,10.199999999999989,2022-10-08 13:54:25+02:00,162,0,34.0
55.91287583112717,11.659562168642879,10.800000000000011,2022-10-08 13:54:29+02:00,159,65,34.0
55.91291514225304,11.65963207371533,11.800000000000011,2022-10-08 13:54:32+02:00,156,68,34.0
55.91297850944102,11.659727040678263,14.600000000000023,2022-10-08 13:54:39+02:00,158,69,33.0
55.91299233958125,11.65974942035973,15.600000000000023,2022-10-08 13:54:41+02:00,157,69,33.0
55.913025783374906,11.659823600202799,17.0,2022-10-08 13:54:46+02:00,156,0,32.0
55.91304112225771,11.659849500283599,17.399999999999977,2022-10-08 13:54:48+02:00,157,0,32.0
55.91309007257223,11.66000984609127,18.399999999999977,2022-10-08 13:54:57+02:00,154,45,31.0
55.91312225908041,11.66011386550963,16.399999999999977,2022-10-08 13:55:08+02:00,154,0,31.0
55.913142543286085,11.66010900400579,14.200000000000045,2022-10-08 13:55:12+02:00,151,0,31.0
55.913213454186916,11.660237917676568,13.200000000000045,2022-10-08 13:55:21+02:00,151,0,30.0
55.91325611807406,11.660473784431815,12.799999999999955,2022-10-08 13:55:30+02:00,151,0,28.0
55.91323432512581,11.660514185205102,11.800000000000011,2022-10-08 13:55:33+02:00,147,0,28.0
55.91317129321396,11.660802522674203,12.0,2022-10-08 13:55:41+02:00,149,74,27.0
55.91316827572882,11.660916768014431,12.0,2022-10-08 13:55:44+02:00,149,71,27.0
55.913154277950525,11.66109412908554,10.600000000000023,2022-10-08 13:55:49+02:00,152,71,26.0
55.91311446391046,11.661412892863154,7.199999999999989,2022-10-08 13:55:57+02:00,153,70,25.0
55.91309635899961,11.661529568955302,8.0,2022-10-08 13:56:00+02:00,154,72,25.0
55.91306006535888,11.66155337356031,6.0,2022-10-08 13:56:02+02:00,154,71,25.0
55.913012539967895,11.66155287064612,3.6000000000000227,2022-10-08 13:56:06+02:00,157,0,25.0
55.91299560852349,11.661573071032763,4.199999999999989,2022-10-08 13:56:07+02:00,157,0,25.0
55.91289754025638,11.661586230620742,-1.0,2022-10-08 13:56:18+02:00,153,61,26.0
55.91285387054086,11.66160617955029,-3.0,2022-10-08 13:56:22+02:00,151,0,26.0
55.9128431417048,11.66164138354361,-3.3999999999999773,2022-10-08 13:56:30+02:00,148,0,26.0
55.912841549143195,11.661670552566648,-3.6000000000000227,2022-10-08 13:56:32+02:00,145,0,26.0
55.912825958803296,11.66170785203576,-5.0,2022-10-08 13:56:38+02:00,142,0,26.0
55.91282017529011,11.661730902269483,-5.199999999999989,2022-10-08 13:56:41+02:00,139,0,26.0
55.9127583168447,11.66186710819602,-5.0,2022-10-08 13:56:49+02:00,136,73,26.0
55.91275337152183,11.66189443320036,-4.199999999999989,2022-10-08 13:56:51+02:00,136,73,26.0
55.912749180570245,11.661942964419723,-2.6000000000000227,2022-10-08 13:56:53+02:00,135,0,26.0
55.91275739483535,11.66201270185411,-1.3999999999999773,2022-10-08 13:56:56+02:00,134,0,25.0
55.9127411339432,11.662169946357608,-2.0,2022-10-08 13:57:02+02:00,140,72,25.0
55.912711629644036,11.662188386544585,-2.1999999999999886,2022-10-08 13:57:03+02:00,141,72,25.0
55.91265521943569,11.662243288010359,-1.3999999999999773,2022-10-08 13:57:08+02:00,138,73,25.0
55.912583051249385,11.662340434268117,0.0,2022-10-08 13:57:13+02:00,143,74,25.0
55.91255840845406,11.662362730130553,0.19999999999998863,2022-10-08 13:57:14+02:00,143,74,25.0
55.912400828674436,11.662586107850075,7.199999999999989,2022-10-08 13:57:21+02:00,144,75,25.0
55.91234341263771,11.662694653496146,5.800000000000011,2022-10-08 13:57:27+02:00,147,56,26.0
55.91232430189848,11.662749387323856,6.800000000000011,2022-10-08 13:57:30+02:00,146,55,26.0
55.91231256723404,11.662805462256074,7.600000000000023,2022-10-08 13:57:32+02:00,146,56,26.0
55.912238135933876,11.663038060069084,14.200000000000045,2022-10-08 13:57:43+02:00,148,74,26.0
55.91214945539832,11.663183905184269,19.0,2022-10-08 13:57:54+02:00,146,61,26.0
55.912131518125534,11.663237297907472,18.600000000000023,2022-10-08 13:57:56+02:00,146,61,26.0
55.912093464285135,11.663333270698786,17.399999999999977,2022-10-08 13:58:00+02:00,141,56,26.0
55.91207410208881,11.663368474692106,16.799999999999955,2022-10-08 13:58:01+02:00,142,57,26.0
55.912057757377625,11.663411892950535,16.399999999999977,2022-10-08 13:58:04+02:00,141,56,26.0
55.91204937547445,11.663474086672068,17.0,2022-10-08 13:58:07+02:00,137,0,26.0
55.91203353367746,11.663516080006957,17.799999999999955,2022-10-08 13:58:10+02:00,134,0,26.0
55.91200000606477,11.663571568205953,15.799999999999955,2022-10-08 13:58:15+02:00,131,53,26.0
55.911970334127545,11.66360467672348,14.0,2022-10-08 13:58:19+02:00,128,0,26.0
55.911958096548915,11.663644909858704,9.600000000000023,2022-10-08 13:58:25+02:00,126,61,26.0
55.911948876455426,11.66372143663466,7.199999999999989,2022-10-08 13:58:29+02:00,127,61,26.0
55.91193965636194,11.663797879591584,4.800000000000011,2022-10-08 13:58:32+02:00,128,61,25.0
55.91192113235593,11.663814643397927,3.6000000000000227,2022-10-08 13:58:34+02:00,131,73,25.0
55.911921886727214,11.663852781057358,3.3999999999999773,2022-10-08 13:58:38+02:00,131,73,25.0
55.91192029416561,11.663911454379559,4.600000000000023,2022-10-08 13:58:41+02:00,128,73,25.0
55.91186614707112,11.664214711636305,9.800000000000011,2022-10-08 13:58:52+02:00,130,67,25.0
55.911806635558605,11.66430490091443,13.399999999999977,2022-10-08 13:58:59+02:00,130,63,25.0
55.91178249567747,11.664317473769188,13.399999999999977,2022-10-08 13:59:01+02:00,131,48,25.0
55.911708902567625,11.664291406050324,10.0,2022-10-08 13:59:04+02:00,131,48,25.0
55.91161938384175,11.664272379130125,5.199999999999989,2022-10-08 13:59:09+02:00,134,69,25.0
55.91160211712122,11.66426575742662,3.8000000000000114,2022-10-08 13:59:11+02:00,134,69,25.0
55.91157621704042,11.664263075217605,4.0,2022-10-08 13:59:14+02:00,133,69,25.0
55.91156146489084,11.6642598900944,3.1999999999999886,2022-10-08 13:59:16+02:00,136,69,25.0
55.9115307033062,11.66426969692111,2.6000000000000227,2022-10-08 13:59:20+02:00,135,0,25.0
55.91151712462306,11.664269780740142,0.19999999999998863,2022-10-08 13:59:22+02:00,135,0,25.0
55.91150932945311,11.664265841245651,-0.8000000000000114,2022-10-08 13:59:24+02:00,134,61,25.0
55.91150186955929,11.664257626980543,-1.8000000000000114,2022-10-08 13:59:26+02:00,133,0,25.0
55.911436239257455,11.664318731054664,0.19999999999998863,2022-10-08 13:59:36+02:00,132,61,25.0
55.91137991286814,11.66441923007369,1.3999999999999773,2022-10-08 13:59:41+02:00,132,46,25.0
55.911293998360634,11.664477903395891,3.8000000000000114,2022-10-08 13:59:48+02:00,135,59,24.0
55.91121219098568,11.664477651938796,4.199999999999989,2022-10-08 13:59:58+02:00,132,0,24.0
55.91121696867049,11.664464911445975,-3.0,2022-10-08 14:00:06+02:00,138,0,24.0
55.91121872887015,11.66446516290307,-3.0,2022-10-08 14:00:07+02:00,133,0,24.0
55.91121847741306,11.66446566581726,-3.0,2022-10-08 14:00:10+02:00,130,61,24.0
55.91118813492358,11.664481591433287,-1.3999999999999773,2022-10-08 14:00:27+02:00,127,0,24.0
55.911045810207725,11.664412608370185,-5.800000000000011,2022-10-08 14:00:57+02:00,127,68,24.0
55.911035500466824,11.66439525783062,-5.199999999999989,2022-10-08 14:00:59+02:00,130,68,24.0
55.91100892983377,11.664362233132124,-4.0,2022-10-08 14:01:02+02:00,135,68,24.0
55.91096366755664,11.664347732439637,-4.399999999999977,2022-10-08 14:01:07+02:00,138,0,24.0
55.91090449132025,11.664369273930788,-3.3999999999999773,2022-10-08 14:01:14+02:00,140,0,24.0
